,i,j,y,t,l,k,alpha,psi
1362,272,133,-0.6269540546664403,2,4,8,1.934843132203402,0.9084578685373853
1363,272,176,3.852610089722446,3,4,9,1.934843132203402,1.3351777361189363
1364,272,176,-0.4448455888543874,4,4,9,1.934843132203402,1.3351777361189363
1365,273,85,-3.749228816388943,0,1,3,-0.8614545985909151,-0.3487556955170447
1366,273,85,0.8113275093533452,1,1,3,-0.8614545985909151,-0.3487556955170447
1367,273,85,-4.948688864220511,2,1,3,-0.8614545985909151,-0.3487556955170447
1368,273,85,0.20163324169441976,3,1,3,-0.8614545985909151,-0.3487556955170447
1369,273,85,-4.213799085595281,4,1,3,-0.8614545985909151,-0.3487556955170447
1370,274,132,2.0914273073476544,0,2,8,0.0,0.9084578685373853
1371,274,132,0.5651165229399409,1,2,8,0.0,0.9084578685373853
1372,274,132,-1.8135176152647188,2,2,8,0.0,0.9084578685373853
1373,274,132,0.6807715793295832,3,2,8,0.0,0.9084578685373853
1374,274,132,5.702341624645309,4,2,8,0.0,0.9084578685373853
1375,275,118,1.4558210926139576,0,3,7,0.8614545985909149,0.6045853465832371
1376,275,118,-0.352668093284928,1,3,7,0.8614545985909149,0.6045853465832371
1377,275,118,0.3048931043781111,2,3,7,0.8614545985909149,0.6045853465832371
1378,275,118,-0.7339067843194922,3,3,7,0.8614545985909149,0.6045853465832371
1379,275,118,-0.8298365691860901,4,3,7,0.8614545985909149,0.6045853465832371
1380,276,102,0.021624931517221002,0,2,5,0.0,0.11418529432142824
1381,276,102,0.16979312993833767,1,2,5,0.0,0.11418529432142824
1382,276,102,0.3688259622771072,2,2,5,0.0,0.11418529432142824
1383,276,102,-1.911410699303836,3,2,5,0.0,0.11418529432142824
1384,276,102,-1.9280810339594583,4,2,5,0.0,0.11418529432142824
1385,277,4,-1.3309208489413864,0,0,0,-1.934843132203402,-1.335177736118937
1386,277,4,-5.667761489414294,1,0,0,-1.934843132203402,-1.335177736118937
1387,277,4,-5.204799141511481,2,0,0,-1.934843132203402,-1.335177736118937
1388,277,4,-0.4550533565095418,3,0,0,-1.934843132203402,-1.335177736118937
1389,277,4,-3.9727159369697143,4,0,0,-1.934843132203402,-1.335177736118937
1390,278,198,2.762185724670653,0,4,9,1.934843132203402,1.3351777361189363
1391,278,198,2.0022455667395214,1,4,9,1.934843132203402,1.3351777361189363
1392,278,198,4.750632822553425,2,4,9,1.934843132203402,1.3351777361189363
1393,278,198,3.9563029001024708,3,4,9,1.934843132203402,1.3351777361189363
1394,278,198,2.983711743912292,4,4,9,1.934843132203402,1.3351777361189363
1395,279,11,-6.722096393472324,0,0,0,-1.934843132203402,-1.335177736118937
1396,279,11,-3.0598981358077757,1,0,0,-1.934843132203402,-1.335177736118937
1397,279,11,-3.2243412805649068,2,0,0,-1.934843132203402,-1.335177736118937
1398,279,11,-3.2947184797886537,3,0,0,-1.934843132203402,-1.335177736118937
1399,279,11,-7.94195472741785,4,0,0,-1.934843132203402,-1.335177736118937
1400,280,48,-6.182798226107749,0,0,0,-1.934843132203402,-1.335177736118937
1401,280,48,-3.6046192751654362,1,0,0,-1.934843132203402,-1.335177736118937
1402,280,48,-0.37775292761558665,2,0,0,-1.934843132203402,-1.335177736118937
1403,280,4,-3.6805673104409378,3,0,0,-1.934843132203402,-1.335177736118937
1404,280,4,-4.676390899996183,4,0,0,-1.934843132203402,-1.335177736118937
1405,281,40,-3.164448697702336,0,0,0,-1.934843132203402,-1.335177736118937
1406,281,40,-2.6710205622938044,1,0,0,-1.934843132203402,-1.335177736118937
1407,281,40,-6.437809896485129,2,0,0,-1.934843132203402,-1.335177736118937
1408,281,40,-2.0648955107806763,3,0,0,-1.934843132203402,-1.335177736118937
1409,281,40,-6.252908608326255,4,0,0,-1.934843132203402,-1.335177736118937
1410,282,15,-3.567720418942141,0,0,0,-1.934843132203402,-1.335177736118937
1411,282,33,-2.649920083075182,1,0,0,-1.934843132203402,-1.335177736118937
1412,282,33,-2.8448993092360784,2,0,0,-1.934843132203402,-1.335177736118937
1413,282,33,-5.115957875587972,3,0,0,-1.934843132203402,-1.335177736118937
1414,282,33,-5.368065027580558,4,0,0,-1.934843132203402,-1.335177736118937
1415,283,50,-1.7608539204726368,0,2,1,0.0,-0.9084578685373851
1416,283,50,-1.4360103552313208,1,2,1,0.0,-0.9084578685373851
1417,283,110,-1.5825427914589454,2,2,6,0.0,0.3487556955170447
1418,283,110,0.5099070500315942,3,2,6,0.0,0.3487556955170447
1419,283,110,4.1658151301895465,4,2,6,0.0,0.3487556955170447
1420,284,65,-3.980188878595686,0,1,1,-0.8614545985909151,-0.9084578685373851
1421,284,65,-3.858548635381483,1,1,1,-0.8614545985909151,-0.9084578685373851
1422,284,65,-6.753086284692618,2,1,1,-0.8614545985909151,-0.9084578685373851
1423,284,65,-3.4653544018126974,3,1,1,-0.8614545985909151,-0.9084578685373851
1424,284,65,-1.600951129364601,4,1,1,-0.8614545985909151,-0.9084578685373851
1425,285,141,3.498876106278173,0,3,8,0.8614545985909149,0.9084578685373853
1426,285,141,2.1599084025629147,1,3,8,0.8614545985909149,0.9084578685373853
1427,285,103,3.170000282376109,2,3,5,0.8614545985909149,0.11418529432142824
1428,285,103,-0.1371890361398418,3,3,5,0.8614545985909149,0.11418529432142824
1429,285,103,-3.265484188511908,4,3,5,0.8614545985909149,0.11418529432142824
1430,286,192,5.209386635733808,0,4,9,1.934843132203402,1.3351777361189363
1431,286,192,4.866163862665044,1,4,9,1.934843132203402,1.3351777361189363
1432,286,192,5.058012543353771,2,4,9,1.934843132203402,1.3351777361189363
1433,286,192,4.764297560736858,3,4,9,1.934843132203402,1.3351777361189363
1434,286,192,5.089874858129792,4,4,9,1.934843132203402,1.3351777361189363
1435,287,147,4.071841729433606,0,3,9,0.8614545985909149,1.3351777361189363
1436,287,147,-0.3790472583726121,1,3,9,0.8614545985909149,1.3351777361189363
1437,287,147,2.7635189392926898,2,3,9,0.8614545985909149,1.3351777361189363
1438,287,147,2.931613536747788,3,3,9,0.8614545985909149,1.3351777361189363
1439,287,147,2.6636052174241653,4,3,9,0.8614545985909149,1.3351777361189363
1440,288,132,2.1927823404981037,0,4,8,1.934843132203402,0.9084578685373853
1441,288,132,2.6263688198001702,1,4,8,1.934843132203402,0.9084578685373853
1442,288,132,4.57011495417494,2,4,8,1.934843132203402,0.9084578685373853
1443,288,132,4.689755631219303,3,4,8,1.934843132203402,0.9084578685373853
1444,288,132,5.263195884483498,4,4,8,1.934843132203402,0.9084578685373853
1445,289,34,-1.2757099652199375,0,1,0,-0.8614545985909151,-1.335177736118937
1446,289,34,-2.297181725842163,1,1,0,-0.8614545985909151,-1.335177736118937
1447,289,34,0.3389462516778545,2,1,0,-0.8614545985909151,-1.335177736118937
1448,289,34,-0.5741447434274916,3,1,0,-0.8614545985909151,-1.335177736118937
1449,289,85,-0.791851226303576,4,1,3,-0.8614545985909151,-0.3487556955170447
1450,290,176,2.3472279674462957,0,4,9,1.934843132203402,1.3351777361189363
1451,290,176,0.11472172867252839,1,4,9,1.934843132203402,1.3351777361189363
1452,290,176,4.8224272833987705,2,4,9,1.934843132203402,1.3351777361189363
1453,290,176,4.620737263296128,3,4,9,1.934843132203402,1.3351777361189363
1454,290,176,0.9765574563083548,4,4,9,1.934843132203402,1.3351777361189363
1455,291,25,-3.214573943666164,0,1,0,-0.8614545985909151,-1.335177736118937
1456,291,25,-2.019531274658067,1,1,0,-0.8614545985909151,-1.335177736118937
1457,291,25,1.9120395769765777,2,1,0,-0.8614545985909151,-1.335177736118937
1458,291,25,0.5985250929659709,3,1,0,-0.8614545985909151,-1.335177736118937
1459,291,25,0.3695440425119627,4,1,0,-0.8614545985909151,-1.335177736118937
1460,292,26,1.1977966612764162,0,0,0,-1.934843132203402,-1.335177736118937
1461,292,11,-3.3659769471934484,1,0,0,-1.934843132203402,-1.335177736118937
1462,292,11,-4.421933150459391,2,0,0,-1.934843132203402,-1.335177736118937
1463,292,11,-6.17944762407952,3,0,0,-1.934843132203402,-1.335177736118937
1464,292,11,-0.7381976514604824,4,0,0,-1.934843132203402,-1.335177736118937
1465,293,16,-2.1392261681144413,0,1,0,-0.8614545985909151,-1.335177736118937
1466,293,16,-2.225599223811159,1,1,0,-0.8614545985909151,-1.335177736118937
1467,293,16,-3.2260204148054505,2,1,0,-0.8614545985909151,-1.335177736118937
1468,293,16,-2.9509444835866887,3,1,0,-0.8614545985909151,-1.335177736118937
1469,293,16,-5.527780043684576,4,1,0,-0.8614545985909151,-1.335177736118937
1470,294,52,-0.5678219868310235,0,1,1,-0.8614545985909151,-0.9084578685373851
1471,294,52,-0.6498391798322898,1,1,1,-0.8614545985909151,-0.9084578685373851
1472,294,52,-3.784977985618893,2,1,1,-0.8614545985909151,-0.9084578685373851
1473,294,52,-3.0471856386992933,3,1,1,-0.8614545985909151,-0.9084578685373851
1474,294,52,-3.1478739736877746,4,1,1,-0.8614545985909151,-0.9084578685373851
1475,295,134,1.3846914563969595,0,3,8,0.8614545985909149,0.9084578685373853
1476,295,134,4.165870213898266,1,3,8,0.8614545985909149,0.9084578685373853
1477,295,134,0.6546796612903933,2,3,8,0.8614545985909149,0.9084578685373853
1478,295,134,0.8517359640524005,3,3,8,0.8614545985909149,0.9084578685373853
1479,295,134,-0.2203690998184904,4,3,8,0.8614545985909149,0.9084578685373853
1480,296,29,0.20182666272128458,0,0,0,-1.934843132203402,-1.335177736118937
1481,296,29,-2.4120609710015013,1,0,0,-1.934843132203402,-1.335177736118937
1482,296,62,-4.494860764494394,2,0,1,-1.934843132203402,-0.9084578685373851
1483,296,62,-3.5790295103619876,3,0,1,-1.934843132203402,-0.9084578685373851
1484,296,62,-0.8712607814368343,4,0,1,-1.934843132203402,-0.9084578685373851
1485,297,16,-2.348890978075339,0,0,0,-1.934843132203402,-1.335177736118937
1486,297,16,-3.938242909604227,1,0,0,-1.934843132203402,-1.335177736118937
1487,297,16,-4.467425566887798,2,0,0,-1.934843132203402,-1.335177736118937
1488,297,16,-3.399596753965391,3,0,0,-1.934843132203402,-1.335177736118937
1489,297,16,-1.338802881680955,4,0,0,-1.934843132203402,-1.335177736118937
1490,298,129,-0.11347701807317456,0,3,8,0.8614545985909149,0.9084578685373853
1491,298,129,5.368317618390158,1,3,8,0.8614545985909149,0.9084578685373853
1492,298,129,-2.1474534362965296,2,3,8,0.8614545985909149,0.9084578685373853
1493,298,129,-0.3231888014530462,3,3,8,0.8614545985909149,0.9084578685373853
1494,298,129,2.5568559758233613,4,3,8,0.8614545985909149,0.9084578685373853
1495,299,78,1.9950776561536552,0,1,2,-0.8614545985909151,-0.6045853465832371
1496,299,32,-2.8375682316973063,1,1,0,-0.8614545985909151,-1.335177736118937
1497,299,32,-3.33223890621451,2,1,0,-0.8614545985909151,-1.335177736118937
1498,299,32,-0.9274625481091321,3,1,0,-0.8614545985909151,-1.335177736118937
1499,299,32,-2.1786466024623965,4,1,0,-0.8614545985909151,-1.335177736118937
1500,300,58,0.3344173092096633,0,2,1,0.0,-0.9084578685373851
1501,300,58,-1.4283439997938066,1,2,1,0.0,-0.9084578685373851
1502,300,58,-3.1631416362625524,2,2,1,0.0,-0.9084578685373851
1503,300,58,-2.697283850769986,3,2,1,0.0,-0.9084578685373851
1504,300,58,-5.036635267798274,4,2,1,0.0,-0.9084578685373851
1505,301,68,-2.878853566154217,0,0,1,-1.934843132203402,-0.9084578685373851
1506,301,68,-5.618605584980093,1,0,1,-1.934843132203402,-0.9084578685373851
1507,301,68,-5.988731836963806,2,0,1,-1.934843132203402,-0.9084578685373851
1508,301,68,-1.7555190795429245,3,0,1,-1.934843132203402,-0.9084578685373851
1509,301,68,-2.422632135080255,4,0,1,-1.934843132203402,-0.9084578685373851
1510,302,112,-4.507175369422918,0,2,6,0.0,0.3487556955170447
1511,302,112,1.40672434363777,1,2,6,0.0,0.3487556955170447
1512,302,112,-0.8933905148488117,2,2,6,0.0,0.3487556955170447
1513,302,112,1.8425632086566637,3,2,6,0.0,0.3487556955170447
1514,302,112,-2.0721702761240497,4,2,6,0.0,0.3487556955170447
1515,303,9,-5.334489253651714,0,0,0,-1.934843132203402,-1.335177736118937
1516,303,9,-0.9691105053370808,1,0,0,-1.934843132203402,-1.335177736118937
1517,303,11,-3.232857310035247,2,0,0,-1.934843132203402,-1.335177736118937
1518,303,11,-4.248510782630612,3,0,0,-1.934843132203402,-1.335177736118937
1519,303,11,-0.5501110308745925,4,0,0,-1.934843132203402,-1.335177736118937
1520,304,63,-2.2509588318192617,0,0,1,-1.934843132203402,-0.9084578685373851
1521,304,63,-3.788618917047662,1,0,1,-1.934843132203402,-0.9084578685373851
1522,304,63,-1.889887784504007,2,0,1,-1.934843132203402,-0.9084578685373851
1523,304,63,-0.47833468018905956,3,0,1,-1.934843132203402,-0.9084578685373851
1524,304,63,-2.448263690486852,4,0,1,-1.934843132203402,-0.9084578685373851
1525,305,58,-5.189398242499088,0,0,1,-1.934843132203402,-0.9084578685373851
1526,305,58,-6.875550130139777,1,0,1,-1.934843132203402,-0.9084578685373851
1527,305,18,-0.08483543454842346,2,0,0,-1.934843132203402,-1.335177736118937
1528,305,18,-3.0355429343185754,3,0,0,-1.934843132203402,-1.335177736118937
1529,305,18,3.1480614385350707,4,0,0,-1.934843132203402,-1.335177736118937
1530,306,123,0.6334275435969959,0,3,7,0.8614545985909149,0.6045853465832371
1531,306,123,0.06557397002374232,1,3,7,0.8614545985909149,0.6045853465832371
1532,306,127,1.537600690781611,2,3,7,0.8614545985909149,0.6045853465832371
1533,306,127,0.9132012893054574,3,3,7,0.8614545985909149,0.6045853465832371
1534,306,127,-0.2513764663173763,4,3,7,0.8614545985909149,0.6045853465832371
1535,307,80,-3.0701815734459696,0,1,2,-0.8614545985909151,-0.6045853465832371
1536,307,24,3.3218077540906643,1,1,0,-0.8614545985909151,-1.335177736118937
1537,307,65,-0.6229806150990491,2,1,1,-0.8614545985909151,-0.9084578685373851
1538,307,65,-1.5558741650423829,3,1,1,-0.8614545985909151,-0.9084578685373851
1539,307,92,-1.4292139196776614,4,1,4,-0.8614545985909151,-0.11418529432142838
1540,308,36,-2.5383860379754504,0,0,0,-1.934843132203402,-1.335177736118937
1541,308,36,-2.2697138326936224,1,0,0,-1.934843132203402,-1.335177736118937
1542,308,36,-4.184525951150979,2,0,0,-1.934843132203402,-1.335177736118937
1543,308,36,-4.6115697510580205,3,0,0,-1.934843132203402,-1.335177736118937
1544,308,36,-0.7792849684908347,4,0,0,-1.934843132203402,-1.335177736118937
1545,309,143,2.5493737073080127,0,3,8,0.8614545985909149,0.9084578685373853
1546,309,111,2.159005895966329,1,3,6,0.8614545985909149,0.3487556955170447
1547,309,111,-0.2691310000033811,2,3,6,0.8614545985909149,0.3487556955170447
1548,309,111,2.9026790059160996,3,3,6,0.8614545985909149,0.3487556955170447
1549,309,111,-2.788813688548652,4,3,6,0.8614545985909149,0.3487556955170447
1550,310,72,-2.068985938101719,0,1,2,-0.8614545985909151,-0.6045853465832371
1551,310,72,1.7388586276332672,1,1,2,-0.8614545985909151,-0.6045853465832371
1552,310,54,-2.846680922105528,2,1,1,-0.8614545985909151,-0.9084578685373851
1553,310,54,-5.666963114041039,3,1,1,-0.8614545985909151,-0.9084578685373851
1554,310,54,-1.3345437668694073,4,1,1,-0.8614545985909151,-0.9084578685373851
1555,311,149,1.6751244961816374,0,4,9,1.934843132203402,1.3351777361189363
1556,311,149,2.260546075890745,1,4,9,1.934843132203402,1.3351777361189363
1557,311,149,1.3433963758994854,2,4,9,1.934843132203402,1.3351777361189363
1558,311,149,4.548582293576858,3,4,9,1.934843132203402,1.3351777361189363
1559,311,185,2.642017607054138,4,4,9,1.934843132203402,1.3351777361189363
1560,312,53,-3.67624666829881,0,0,1,-1.934843132203402,-0.9084578685373851
1561,312,53,-4.983736517076169,1,0,1,-1.934843132203402,-0.9084578685373851
1562,312,53,-2.6136552159721496,2,0,1,-1.934843132203402,-0.9084578685373851
1563,312,8,-2.0638739527504244,3,0,0,-1.934843132203402,-1.335177736118937
1564,312,8,-7.201212399529728,4,0,0,-1.934843132203402,-1.335177736118937
1565,313,124,2.1268742026711336,0,3,7,0.8614545985909149,0.6045853465832371
1566,313,124,3.900024567816362,1,3,7,0.8614545985909149,0.6045853465832371
1567,313,124,4.432130815185718,2,3,7,0.8614545985909149,0.6045853465832371
1568,313,124,1.4956147480816577,3,3,7,0.8614545985909149,0.6045853465832371
1569,313,124,2.5121403415197636,4,3,7,0.8614545985909149,0.6045853465832371
1570,314,99,-0.5479503250237143,0,2,4,0.0,-0.11418529432142838
1571,314,99,3.1459235531016043,1,2,4,0.0,-0.11418529432142838
1572,314,99,-0.7998006227467434,2,2,4,0.0,-0.11418529432142838
1573,314,99,-0.9919035331766763,3,2,4,0.0,-0.11418529432142838
1574,314,99,-1.5421986130019532,4,2,4,0.0,-0.11418529432142838
1575,315,113,-1.929201390087466,0,2,6,0.0,0.3487556955170447
1576,315,113,2.008279650802931,1,2,6,0.0,0.3487556955170447
1577,315,113,1.78777745967192,2,2,6,0.0,0.3487556955170447
1578,315,113,0.03473321221853792,3,2,6,0.0,0.3487556955170447
1579,315,113,3.237632911433711,4,2,6,0.0,0.3487556955170447
1580,316,156,0.9872379673954927,0,3,9,0.8614545985909149,1.3351777361189363
1581,316,156,2.0950650709149965,1,3,9,0.8614545985909149,1.3351777361189363
1582,316,156,2.5166561409206447,2,3,9,0.8614545985909149,1.3351777361189363
1583,316,156,-0.07956850938532734,3,3,9,0.8614545985909149,1.3351777361189363
1584,316,156,1.2477653497789765,4,3,9,0.8614545985909149,1.3351777361189363
1585,317,80,1.0288387060920474,0,2,2,0.0,-0.6045853465832371
1586,317,80,-2.7273831095828314,1,2,2,0.0,-0.6045853465832371
1587,317,80,-1.102138510125051,2,2,2,0.0,-0.6045853465832371
1588,317,80,-3.1891754645864925,3,2,2,0.0,-0.6045853465832371
1589,317,80,0.2546390197216505,4,2,2,0.0,-0.6045853465832371
1590,318,13,-3.0592725303462593,0,0,0,-1.934843132203402,-1.335177736118937
1591,318,13,-4.090788714662491,1,0,0,-1.934843132203402,-1.335177736118937
1592,318,13,-1.6444254590336578,2,0,0,-1.934843132203402,-1.335177736118937
1593,318,13,-3.8073021671935194,3,0,0,-1.934843132203402,-1.335177736118937
1594,318,13,-2.3674246433377606,4,0,0,-1.934843132203402,-1.335177736118937
1595,319,192,1.2684236211620386,0,3,9,0.8614545985909149,1.3351777361189363
1596,319,192,1.529528047634241,1,3,9,0.8614545985909149,1.3351777361189363
1597,319,192,-0.12143499944247793,2,3,9,0.8614545985909149,1.3351777361189363
1598,319,192,-1.8663597008664752,3,3,9,0.8614545985909149,1.3351777361189363
1599,319,192,4.986957064583649,4,3,9,0.8614545985909149,1.3351777361189363
1600,320,197,0.826808449064707,0,2,9,0.0,1.3351777361189363
1601,320,106,-1.5110194731811863,1,2,5,0.0,0.11418529432142824
1602,320,62,0.8399419616812621,2,2,1,0.0,-0.9084578685373851
1603,320,62,0.18798462752650946,3,2,1,0.0,-0.9084578685373851
1604,320,62,-2.7608725446494145,4,2,1,0.0,-0.9084578685373851
1605,321,25,-0.8780325348163885,0,2,0,0.0,-1.335177736118937
1606,321,25,-0.11677153742487434,1,2,0,0.0,-1.335177736118937
1607,321,25,-3.013233798633883,2,2,0,0.0,-1.335177736118937
1608,321,25,2.3052695041333413,3,2,0,0.0,-1.335177736118937
1609,321,25,-0.8376217807333198,4,2,0,0.0,-1.335177736118937
1610,322,130,3.3705430311418194,0,3,8,0.8614545985909149,0.9084578685373853
1611,322,130,1.5971680284354854,1,3,8,0.8614545985909149,0.9084578685373853
1612,322,130,0.7180715248354166,2,3,8,0.8614545985909149,0.9084578685373853
1613,322,130,-0.06867786226991646,3,3,8,0.8614545985909149,0.9084578685373853
1614,322,130,3.1302445409412036,4,3,8,0.8614545985909149,0.9084578685373853
1615,323,120,5.253798803919104,0,4,7,1.934843132203402,0.6045853465832371
1616,323,120,1.3810254124151184,1,4,7,1.934843132203402,0.6045853465832371
1617,323,120,4.749608061556583,2,4,7,1.934843132203402,0.6045853465832371
1618,323,155,4.866771341872137,3,4,9,1.934843132203402,1.3351777361189363
1619,323,155,5.377989249974,4,4,9,1.934843132203402,1.3351777361189363
1620,324,110,3.7557044206976444,0,4,6,1.934843132203402,0.3487556955170447
1621,324,110,4.396528038451295,1,4,6,1.934843132203402,0.3487556955170447
1622,324,110,3.8750668992640414,2,4,6,1.934843132203402,0.3487556955170447
1623,324,110,0.8557269191780865,3,4,6,1.934843132203402,0.3487556955170447
1624,324,151,4.780473708380429,4,4,9,1.934843132203402,1.3351777361189363
1625,325,85,4.721013695476888,0,1,3,-0.8614545985909151,-0.3487556955170447
1626,325,85,-0.2742284071165185,1,1,3,-0.8614545985909151,-0.3487556955170447
1627,325,89,-1.4469189110343301,2,1,3,-0.8614545985909151,-0.3487556955170447
1628,325,89,-1.0833073363746368,3,1,3,-0.8614545985909151,-0.3487556955170447
1629,325,89,-2.842149793653557,4,1,3,-0.8614545985909151,-0.3487556955170447
1630,326,117,0.2879759845001657,0,3,7,0.8614545985909149,0.6045853465832371
1631,326,117,-1.4014779186541233,1,3,7,0.8614545985909149,0.6045853465832371
1632,326,117,-0.8544860857879493,2,3,7,0.8614545985909149,0.6045853465832371
1633,326,117,0.43626555501903175,3,3,7,0.8614545985909149,0.6045853465832371
1634,326,108,1.433537334565838,4,3,6,0.8614545985909149,0.3487556955170447
1635,327,136,3.078383053692403,0,4,8,1.934843132203402,0.9084578685373853
1636,327,136,1.1935825822346315,1,4,8,1.934843132203402,0.9084578685373853
1637,327,136,5.280844009398956,2,4,8,1.934843132203402,0.9084578685373853
1638,327,136,3.62340331585401,3,4,8,1.934843132203402,0.9084578685373853
1639,327,136,1.638091674152288,4,4,8,1.934843132203402,0.9084578685373853
1640,328,172,1.8799848916472515,0,3,9,0.8614545985909149,1.3351777361189363
1641,328,172,3.675331907455118,1,3,9,0.8614545985909149,1.3351777361189363
1642,328,172,3.414146769821798,2,3,9,0.8614545985909149,1.3351777361189363
1643,328,172,3.8980248333682272,3,3,9,0.8614545985909149,1.3351777361189363
1644,328,172,-0.5985026880634301,4,3,9,0.8614545985909149,1.3351777361189363
1645,329,5,-8.462560036828847,0,0,0,-1.934843132203402,-1.335177736118937
1646,329,5,-4.0749528622713465,1,0,0,-1.934843132203402,-1.335177736118937
1647,329,5,-0.396445888379823,2,0,0,-1.934843132203402,-1.335177736118937
1648,329,5,-4.162393594722755,3,0,0,-1.934843132203402,-1.335177736118937
1649,329,5,-3.9653190665968365,4,0,0,-1.934843132203402,-1.335177736118937
1650,330,84,1.1588036902371446,0,1,3,-0.8614545985909151,-0.3487556955170447
1651,330,84,-1.2033764209812274,1,1,3,-0.8614545985909151,-0.3487556955170447
1652,330,84,-1.4296533286597768,2,1,3,-0.8614545985909151,-0.3487556955170447
1653,330,56,-0.8941914020663259,3,1,1,-0.8614545985909151,-0.9084578685373851
1654,330,56,-3.083322123926675,4,1,1,-0.8614545985909151,-0.9084578685373851
1655,331,176,-0.2248316953768137,0,2,9,0.0,1.3351777361189363
1656,331,176,3.695925111129886,1,2,9,0.0,1.3351777361189363
1657,331,176,2.172027951906612,2,2,9,0.0,1.3351777361189363
1658,331,133,1.1080899980053474,3,2,8,0.0,0.9084578685373853
1659,331,133,4.914417690692049,4,2,8,0.0,0.9084578685373853
1660,332,0,-4.762426082230534,0,2,0,0.0,-1.335177736118937
1661,332,0,-3.400823074486331,1,2,0,0.0,-1.335177736118937
1662,332,0,0.5141535710596523,2,2,0,0.0,-1.335177736118937
1663,332,0,-1.540040055083021,3,2,0,0.0,-1.335177736118937
1664,332,0,-1.9001519766681187,4,2,0,0.0,-1.335177736118937
1665,333,91,1.4072111890589378,0,2,4,0.0,-0.11418529432142838
1666,333,91,0.01825017563631781,1,2,4,0.0,-0.11418529432142838
1667,333,80,-0.8573846194469246,2,2,2,0.0,-0.6045853465832371
1668,333,80,1.048649937326257,3,2,2,0.0,-0.6045853465832371
1669,333,80,1.4146196715468495,4,2,2,0.0,-0.6045853465832371
1670,334,42,-6.824263445978692,0,0,0,-1.934843132203402,-1.335177736118937
1671,334,42,-3.460660128364335,1,0,0,-1.934843132203402,-1.335177736118937
1672,334,42,-4.302226597546232,2,0,0,-1.934843132203402,-1.335177736118937
1673,334,42,-3.5136488253401037,3,0,0,-1.934843132203402,-1.335177736118937
1674,334,42,-6.410954380270255,4,0,0,-1.934843132203402,-1.335177736118937
1675,335,86,2.9320646966077373,0,2,3,0.0,-0.3487556955170447
1676,335,86,-0.8042708703652792,1,2,3,0.0,-0.3487556955170447
1677,335,98,0.16360521097003994,2,2,4,0.0,-0.11418529432142838
1678,335,98,-2.853510436244825,3,2,4,0.0,-0.11418529432142838
1679,335,98,2.0766949389126856,4,2,4,0.0,-0.11418529432142838
1680,336,111,0.12101485082644986,0,2,6,0.0,0.3487556955170447
1681,336,111,-1.1583886509262276,1,2,6,0.0,0.3487556955170447
1682,336,111,1.8491178855707386,2,2,6,0.0,0.3487556955170447
1683,336,111,-0.3968380484622049,3,2,6,0.0,0.3487556955170447
1684,336,111,1.519839579224529,4,2,6,0.0,0.3487556955170447
1685,337,71,-0.5585652460596774,0,2,2,0.0,-0.6045853465832371
1686,337,71,-0.7622946992481753,1,2,2,0.0,-0.6045853465832371
1687,337,71,-3.641999639655096,2,2,2,0.0,-0.6045853465832371
1688,337,71,-3.6474250096019647,3,2,2,0.0,-0.6045853465832371
1689,337,71,4.558721482406105,4,2,2,0.0,-0.6045853465832371
1690,338,115,2.7270120306981243,0,3,6,0.8614545985909149,0.3487556955170447
1691,338,115,3.3612480618382143,1,3,6,0.8614545985909149,0.3487556955170447
1692,338,115,4.026798876111213,2,3,6,0.8614545985909149,0.3487556955170447
1693,338,115,1.4962013147507276,3,3,6,0.8614545985909149,0.3487556955170447
1694,338,115,-1.2458750995718362,4,3,6,0.8614545985909149,0.3487556955170447
1695,339,102,-3.12445788716884,0,2,5,0.0,0.11418529432142824
1696,339,102,3.0089299278061863,1,2,5,0.0,0.11418529432142824
1697,339,102,0.7357437756300343,2,2,5,0.0,0.11418529432142824
1698,339,102,3.1362818227495772,3,2,5,0.0,0.11418529432142824
1699,339,135,-0.4645666293070244,4,2,8,0.0,0.9084578685373853
1700,340,98,-2.096579643003639,0,1,4,-0.8614545985909151,-0.11418529432142838
1701,340,98,-0.8992052994788486,1,1,4,-0.8614545985909151,-0.11418529432142838
1702,340,98,-0.684967376820139,2,1,4,-0.8614545985909151,-0.11418529432142838
1703,340,98,-3.297480188694802,3,1,4,-0.8614545985909151,-0.11418529432142838
1704,340,61,1.6295797670921859,4,1,1,-0.8614545985909151,-0.9084578685373851
1705,341,142,2.956342476901532,0,3,8,0.8614545985909149,0.9084578685373853
1706,341,165,3.123052582166755,1,3,9,0.8614545985909149,1.3351777361189363
1707,341,180,6.11348447355082,2,3,9,0.8614545985909149,1.3351777361189363
1708,341,180,3.684325005872042,3,3,9,0.8614545985909149,1.3351777361189363
1709,341,180,2.2764063083585335,4,3,9,0.8614545985909149,1.3351777361189363
1710,342,176,2.8082197156561794,0,4,9,1.934843132203402,1.3351777361189363
1711,342,176,3.33003036154785,1,4,9,1.934843132203402,1.3351777361189363
1712,342,176,2.023338048304078,2,4,9,1.934843132203402,1.3351777361189363
1713,342,176,4.99794608363508,3,4,9,1.934843132203402,1.3351777361189363
1714,342,176,5.329567557138328,4,4,9,1.934843132203402,1.3351777361189363
1715,343,175,1.9549715095323685,0,3,9,0.8614545985909149,1.3351777361189363
1716,343,175,-1.1245068770536704,1,3,9,0.8614545985909149,1.3351777361189363
1717,343,175,1.1406643245660184,2,3,9,0.8614545985909149,1.3351777361189363
